[ms, ppb]
2825130,20
2830130,20
2835130,20
2840130,20
2845130,20
2850130,20
2855130,20
2860130,20
2865130,20
2870130,20
2875130,20
2880130,20
2885130,20
2890130,20
2895130,20
2900130,20
2905130,20
2910130,20
2915130,20
2920130,20
2925130,20
2930130,20
2935130,20
2940130,20
2945130,20
2950130,20
2955130,20
2960130,20
2965130,20
2970130,20
2975130,20
2980130,20
2985130,20
2990130,20
2995130,20
3000130,20
3005130,20
3010130,20
3015130,20
3020130,20
3025130,20
3030130,20
3035130,20
3040130,20
3045130,20
3050130,20
3055130,20
3060130,20
3065130,20
3070130,20
3075130,20
3080130,20
3085130,20
3090130,20
3095130,20
3100130,20
3105130,20
3110130,20
3115130,20
3120130,20
3125130,20
3130130,20
3135130,20
3140130,20
3145130,20
3150130,20
3155130,20
3160130,20
3165130,20
3170130,20
3175130,20
3180130,20
3185130,20
3190130,20
3195130,20
3200130,20
3205130,20
3210130,20
3215130,20
3220130,20
3225130,20
3230130,20
3235130,20
3240130,20
3245130,20
3250130,20
3255130,20
3260130,20
3265130,20
3270130,20
3275130,20
3280130,20
3285130,20
3290130,20
3295130,20
3300133,20
3305133,20
3310137,20
3315137,20
3320137,20
3325137,20
3330137,20
3335137,20
3340137,20
3345137,20
3350137,20
3355137,20
3360137,20
3365137,20
3370137,20
3375137,20
3380137,20
3385137,20
3390137,20
3395137,20
3400137,20
3405137,20
3410137,20
3415137,20
3420137,20
3425137,20
3430137,20
3435137,20
3440137,20
3445137,20
3450137,20
3455137,20
3460137,20
3465137,20
3470137,20
3475137,20
3480137,20
3485137,20
3490137,20
3495137,20
3500137,20
3505137,20
3510137,20
3515137,20
3520137,20
3525137,20
3530137,20
3535137,20
3540137,20
3545137,20
3550137,20
3555137,20
3560137,20
3565137,20
3570137,20
3575137,20
3580137,20
3585137,20
3590137,20
3595137,20
3600137,20
3605137,20
3610137,20
3615137,20
3620137,20
3625137,20
3630137,20
3635137,20
3640137,20
3645137,20
3650137,20
3655137,20
3660137,20
3665137,20
3670137,20
3675137,20
3680137,20
3685137,20
3690137,20
3695137,20
3700137,20
3705137,20
3710137,20
3715137,20
3720137,20
3725137,20
3730137,20
3735137,20
3740137,20
3745137,20
3750137,20
3755137,20
3760137,20
3765137,20
3770137,20
3775137,20
3780137,20
3785137,20
3790137,20
3795137,20
3800137,20
3805137,20
3810137,20
3815137,20
3820137,20
3825137,20
3830137,20
3835137,20
3840137,20
3845137,20
3850137,20
3855137,20
3860137,20
3865137,20
3870137,20
3875137,20
3880137,20
3885137,20
3890137,20
3895137,20
3900137,20
3905137,20
3910137,20
3915137,20
3920137,20
3925137,20
3930137,20
3935137,20
3940137,20
3945137,20
3950137,20
3955137,20
3960137,20
3965137,20
3970137,20
3975137,20
3980137,20
3985137,20
3990137,20
3995137,20
4000137,20
4005137,20
4010137,20
4015137,20
4020137,20
4025137,20
4030137,20
4035137,20
4040137,20
4045137,20
4050137,20
4055137,20
4060137,20
4065137,20
4070137,20
4075137,20
4080137,20
4085137,20
4090137,20
4095137,20
4100137,20
4105137,20
4110137,20
4115137,20
4120137,20
4125137,20
4130137,20
4135137,20
4140137,20
4145137,20
4150137,20
4155137,20
4160137,20
4165137,20
4170137,20
4175137,20
4180137,20
4185137,20
4190137,20
4195137,20
4200137,20
4205137,20
4210137,20
4215137,20
4220137,20
4225137,20
4230137,20
4235137,20
4240137,20
4245137,20
4250137,20
4255137,20
4260137,20
4265137,20
4270137,20
4275137,20
4280137,20
4285137,20
4290137,20
4295137,20
4300137,20
4305137,20
4310137,20
4315137,20
4320137,20
4325137,20
4330137,20
4335137,20
4340137,20
4345137,20
4350137,20
4355137,20
4360137,20
4365137,20
4370137,20
4375137,20
4380137,20
4385137,20
4390137,20
4395137,20
4400137,20
4405137,20
4410137,20
4415137,20
4420137,20
4425137,20
4430137,20
4435137,20
4440137,20
4445137,20
4450137,20
4455137,20
4460137,20
4465137,20
4470137,20
4475137,20
4480137,20
4485137,20
4490137,20
4495137,20
4500137,20
4505137,20
4510137,20
4515137,20
4520137,20
4525137,20
4530137,20
4535137,20
4540137,20
4545137,20
4550137,20
4555137,20
4560137,20
4565137,20
4570137,20
4575137,20
4580137,20
4585137,20
4590137,20
4595137,20
4600137,20
4605137,20
4610137,20
4615137,20
4620137,20
4625137,20
4630137,20
4635137,20
4640137,20
4645137,20
4650137,20
4655137,20
4660137,20
4665137,20
4670137,21
4675137,21
4680137,21
4685137,21
4690137,21
4695137,21
4700137,21
4705137,21
4710137,21
4715137,21
4720137,21
4725137,21
4730137,21
4735137,21
4740137,21
4745137,21
4750137,21
4755137,21
4760137,21
4765137,21
4770137,20
4775137,20
4780137,20
4785137,20
4790137,20
4795137,20
4800137,20
4805137,20
4810137,20
4815137,20
4820137,20
4825137,20
4830137,20
4835137,20
4840137,20
4845137,20
4850137,20
4855137,20
4860137,20
4865137,20
4870137,20
4875137,20
4880137,20
4885137,20
4890137,20
4895137,20
4900137,20
4905137,20
4910137,20
4915138,20
4920138,20
4925138,20
4930138,20
4935138,20
4940138,20
4945138,20
4950138,20
4955138,20
4960138,20
4965138,20
4970138,20
4975138,20
4980138,20
4985138,20
4990138,20
4995138,20
5000138,20
5005138,20
5010138,20
5015138,20
5020138,20
5025138,20
5030138,20
5035138,20
5040138,20
5045138,20
5050138,20
5055138,20
5060138,20
5065138,20
5070138,20
5075138,20
5080138,20
5085138,20
5090138,20
5095138,20
5100138,20
5105138,20
5110138,20
5115138,20
5120138,20
5125138,20
5130138,20
5135138,20
5140138,20
5145138,20
5150138,20
5155138,20
5160138,20
5165138,20
5170138,20
5175138,20
5180138,20
5185138,20
5190138,20
5195138,20
5200138,20
5205138,20
5210138,20
5215138,20
5220138,20
5225138,20
5230138,20
5235138,20
5240138,20
5245138,20
5250138,20
5255138,20
5260138,20
5265138,20
5270138,20
5275138,20
5280138,20
5285138,20
5290138,20
5295138,20
5300138,20
5305138,20
5310138,20
5315138,22
5320138,27
5325138,29
5330138,29
5335138,29
5340138,29
5345138,29
5350138,29
5355138,29
5360138,29
5365138,29
5370138,29
5375138,29
5380138,29
5385138,29
5390138,29
5395138,29
5400138,29
5405138,29
5410138,29
5415138,27
5420138,22
5425138,20
